Array count,Array size,Sorter,Time
10,4,own sorting network,2354100
10,4,openmp sorting network,2700
10,4,sequential sorting network,2700
10,4,std::sort,3200
20,4,own sorting network,4076400
20,4,openmp sorting network,4600
20,4,sequential sorting network,4800
20,4,std::sort,5000
30,4,own sorting network,6375200
30,4,openmp sorting network,5000
30,4,sequential sorting network,5000
30,4,std::sort,5200
40,4,own sorting network,8421800
40,4,openmp sorting network,8100
40,4,sequential sorting network,6100
40,4,std::sort,6100
50,4,own sorting network,9410200
50,4,openmp sorting network,8400
50,4,sequential sorting network,7700
50,4,std::sort,9100
60,4,own sorting network,11881000
60,4,openmp sorting network,8300
60,4,sequential sorting network,9000
60,4,std::sort,9800
70,4,own sorting network,13449400
70,4,openmp sorting network,11700
70,4,sequential sorting network,11200
70,4,std::sort,11200
80,4,own sorting network,14170100
80,4,openmp sorting network,11900
80,4,sequential sorting network,12200
80,4,std::sort,12700
90,4,own sorting network,18189800
90,4,openmp sorting network,12600
90,4,sequential sorting network,12700
90,4,std::sort,18400
100,4,own sorting network,17715600
100,4,openmp sorting network,14200
100,4,sequential sorting network,14000
100,4,std::sort,15700
110,4,own sorting network,20934700
110,4,openmp sorting network,20900
110,4,sequential sorting network,20700
110,4,std::sort,21800
120,4,own sorting network,21813200
120,4,openmp sorting network,17700
120,4,sequential sorting network,17000
120,4,std::sort,18700
130,4,own sorting network,26337500
130,4,openmp sorting network,18000
130,4,sequential sorting network,18000
130,4,std::sort,19400
140,4,own sorting network,25665800
140,4,openmp sorting network,20000
140,4,sequential sorting network,19200
140,4,std::sort,22000
150,4,own sorting network,26225600
150,4,openmp sorting network,20800
150,4,sequential sorting network,21000
150,4,std::sort,25300
160,4,own sorting network,36864300
160,4,openmp sorting network,29300
160,4,sequential sorting network,21400
160,4,std::sort,23200
170,4,own sorting network,49970300
170,4,openmp sorting network,33900
170,4,sequential sorting network,33000
170,4,std::sort,31200
180,4,own sorting network,64227900
180,4,openmp sorting network,32500
180,4,sequential sorting network,31800
180,4,std::sort,36000
190,4,own sorting network,56586100
190,4,openmp sorting network,35000
190,4,sequential sorting network,38600
190,4,std::sort,39100
200,4,own sorting network,80813000
200,4,openmp sorting network,38000
200,4,sequential sorting network,39400
200,4,std::sort,43900
210,4,own sorting network,108725100
210,4,openmp sorting network,39900
210,4,sequential sorting network,40200
210,4,std::sort,46400
220,4,own sorting network,46772500
220,4,openmp sorting network,32600
220,4,sequential sorting network,33800
220,4,std::sort,37400
230,4,own sorting network,45592200
230,4,openmp sorting network,32600
230,4,sequential sorting network,32200
230,4,std::sort,35100
240,4,own sorting network,46999000
240,4,openmp sorting network,33200
240,4,sequential sorting network,34400
240,4,std::sort,36700
250,4,own sorting network,48056300
