Array count,Array size,Sorter,Time
10,8,own sorting network,5462500
10,8,openmp sorting network,3700
10,8,sequential sorting network,3800
10,8,std::sort,3000
20,8,own sorting network,15373500
20,8,openmp sorting network,10600
20,8,sequential sorting network,11000
20,8,std::sort,7900
30,8,own sorting network,29975600
30,8,openmp sorting network,20700
30,8,sequential sorting network,21000
30,8,std::sort,15500
40,8,own sorting network,50109600
40,8,openmp sorting network,34800
40,8,sequential sorting network,34900
40,8,std::sort,25400
50,8,own sorting network,75682800
50,8,openmp sorting network,51500
50,8,sequential sorting network,51900
50,8,std::sort,37500
60,8,own sorting network,105325300
60,8,openmp sorting network,70600
60,8,sequential sorting network,71100
60,8,std::sort,51400
70,8,own sorting network,139746800
70,8,openmp sorting network,94200
70,8,sequential sorting network,93600
70,8,std::sort,68400
80,8,own sorting network,178774600
80,8,openmp sorting network,119700
80,8,sequential sorting network,118200
80,8,std::sort,88000
90,8,own sorting network,222453700
90,8,openmp sorting network,162500
90,8,sequential sorting network,161200
90,8,std::sort,108700
100,8,own sorting network,272250500
100,8,openmp sorting network,193800
100,8,sequential sorting network,192900
100,8,std::sort,131800
10,16,own sorting network,16888500
10,16,openmp sorting network,10900
10,16,sequential sorting network,233500
10,16,std::sort,6400
20,16,own sorting network,48858600
20,16,openmp sorting network,30200
20,16,sequential sorting network,253300
20,16,std::sort,17400
30,16,own sorting network,96484300
30,16,openmp sorting network,59100
30,16,sequential sorting network,282900
30,16,std::sort,34100
40,16,own sorting network,161251900
40,16,openmp sorting network,97500
40,16,sequential sorting network,321600
40,16,std::sort,56300
50,16,own sorting network,242264300
50,16,openmp sorting network,144300
50,16,sequential sorting network,368200
50,16,std::sort,84000
60,16,own sorting network,339230900
60,16,openmp sorting network,200500
60,16,sequential sorting network,425800
60,16,std::sort,116200
70,16,own sorting network,451880600
70,16,openmp sorting network,267400
70,16,sequential sorting network,491600
70,16,std::sort,153900
80,16,own sorting network,580048800
80,16,openmp sorting network,343400
80,16,sequential sorting network,567500
80,16,std::sort,197800
90,16,own sorting network,724412000
90,16,openmp sorting network,429200
90,16,sequential sorting network,652900
90,16,std::sort,246500
100,16,own sorting network,885649800
100,16,openmp sorting network,524600
100,16,sequential sorting network,748200
