Array count,Array size,Sorter,Time
10,8,own sorting network,5115800
10,8,openmp sorting network,3700
10,8,sequential sorting network,3200
10,8,std::sort,3100
20,8,own sorting network,15296000
20,8,openmp sorting network,10600
20,8,sequential sorting network,10000
20,8,std::sort,8600
30,8,own sorting network,31217600
30,8,openmp sorting network,21000
30,8,sequential sorting network,19800
30,8,std::sort,16100
40,8,own sorting network,53207600
40,8,openmp sorting network,33500
40,8,sequential sorting network,32800
40,8,std::sort,25900
50,8,own sorting network,79128200
50,8,openmp sorting network,50100
50,8,sequential sorting network,49600
50,8,std::sort,38000
60,8,own sorting network,109666400
60,8,openmp sorting network,69600
60,8,sequential sorting network,68100
60,8,std::sort,52100
70,8,own sorting network,145878500
70,8,openmp sorting network,92300
70,8,sequential sorting network,90700
70,8,std::sort,69100
80,8,own sorting network,186544500
80,8,openmp sorting network,118300
80,8,sequential sorting network,116200
80,8,std::sort,88000
90,8,own sorting network,233050200
90,8,openmp sorting network,146100
90,8,sequential sorting network,143900
90,8,std::sort,109300
100,8,own sorting network,282236200
100,8,openmp sorting network,177200
100,8,sequential sorting network,174400
100,8,std::sort,131700
10,16,own sorting network,16108800
10,16,openmp sorting network,10700
10,16,sequential sorting network,10200
10,16,std::sort,5900
20,16,own sorting network,49001600
20,16,openmp sorting network,30900
20,16,sequential sorting network,30100
20,16,std::sort,17400
30,16,own sorting network,98560700
30,16,openmp sorting network,59400
30,16,sequential sorting network,59000
30,16,std::sort,34800
40,16,own sorting network,164085500
40,16,openmp sorting network,97400
40,16,sequential sorting network,103600
40,16,std::sort,57000
50,16,own sorting network,245070200
50,16,openmp sorting network,145300
50,16,sequential sorting network,151500
50,16,std::sort,84400
60,16,own sorting network,344289900
60,16,openmp sorting network,202100
60,16,sequential sorting network,208600
60,16,std::sort,116500
70,16,own sorting network,463355700
70,16,openmp sorting network,268600
70,16,sequential sorting network,274600
70,16,std::sort,154300
80,16,own sorting network,596107100
80,16,openmp sorting network,343800
80,16,sequential sorting network,348700
80,16,std::sort,206400
90,16,own sorting network,744822100
90,16,openmp sorting network,427800
90,16,sequential sorting network,433700
90,16,std::sort,255100
100,16,own sorting network,912441300
100,16,openmp sorting network,521200
100,16,sequential sorting network,527800
100,16,std::sort,308500
10,24,own sorting network,39029100
10,24,openmp sorting network,19400
10,24,sequential sorting network,19400
10,24,std::sort,12000
20,24,own sorting network,117334100
20,24,openmp sorting network,67900
20,24,sequential sorting network,77900
20,24,std::sort,39600
30,24,own sorting network,232769900
30,24,openmp sorting network,123200
30,24,sequential sorting network,134800
30,24,std::sort,73600
40,24,own sorting network,389524800
40,24,openmp sorting network,197200
40,24,sequential sorting network,208900
40,24,std::sort,127400
50,24,own sorting network,579413800
50,24,openmp sorting network,288200
50,24,sequential sorting network,299400
50,24,std::sort,181300
60,24,own sorting network,809500700
60,24,openmp sorting network,398200
60,24,sequential sorting network,408600
60,24,std::sort,245300
70,24,own sorting network,1087341300
70,24,openmp sorting network,529600
70,24,sequential sorting network,537400
70,24,std::sort,320400
80,24,own sorting network,1443062700
80,24,openmp sorting network,680900
80,24,sequential sorting network,694300
80,24,std::sort,406800
90,24,own sorting network,1825145500
90,24,openmp sorting network,845100
90,24,sequential sorting network,863700
90,24,std::sort,503800
100,24,own sorting network,2215554700
100,24,openmp sorting network,1027900
100,24,sequential sorting network,1046300
100,24,std::sort,632400
10,32,own sorting network,49010900
10,32,openmp sorting network,37500
10,32,sequential sorting network,27200
10,32,std::sort,17300
20,32,own sorting network,153499600
20,32,openmp sorting network,93300
20,32,sequential sorting network,80800
20,32,std::sort,49400
30,32,own sorting network,298514200
30,32,openmp sorting network,174000
30,32,sequential sorting network,190300
30,32,std::sort,97200
40,32,own sorting network,511506100
40,32,openmp sorting network,282200
40,32,sequential sorting network,298400
40,32,std::sort,159800
50,32,own sorting network,789464600
50,32,openmp sorting network,416500
50,32,sequential sorting network,434300
50,32,std::sort,239000
60,32,own sorting network,1125154500
60,32,openmp sorting network,575500
60,32,sequential sorting network,680000
60,32,std::sort,343300
70,32,own sorting network,1472565900
70,32,openmp sorting network,863100
70,32,sequential sorting network,871700
70,32,std::sort,450500
80,32,own sorting network,1865428400
80,32,openmp sorting network,1071000
80,32,sequential sorting network,1081400
80,32,std::sort,572500
90,32,own sorting network,2303048300
90,32,openmp sorting network,1304100
90,32,sequential sorting network,1323500
90,32,std::sort,710400
100,32,own sorting network,2792689600
100,32,openmp sorting network,1564700
100,32,sequential sorting network,1583800
100,32,std::sort,889300
10,40,own sorting network,83795100
10,40,openmp sorting network,42000
10,40,sequential sorting network,43700
10,40,std::sort,21900
20,40,own sorting network,251379800
20,40,openmp sorting network,122500
20,40,sequential sorting network,125300
20,40,std::sort,65400
30,40,own sorting network,499771400
30,40,openmp sorting network,242500
30,40,sequential sorting network,249100
30,40,std::sort,135700
40,40,own sorting network,835748000
40,40,openmp sorting network,407300
40,40,sequential sorting network,448900
40,40,std::sort,217000
50,40,own sorting network,1253354200
50,40,openmp sorting network,606900
50,40,sequential sorting network,649900
50,40,std::sort,317800
60,40,own sorting network,1753127200
60,40,openmp sorting network,845700
60,40,sequential sorting network,899000
60,40,std::sort,442100
70,40,own sorting network,2336354600
70,40,openmp sorting network,1125300
70,40,sequential sorting network,1180500
70,40,std::sort,598100
80,40,own sorting network,3003082900
80,40,openmp sorting network,1440900
80,40,sequential sorting network,1505900
80,40,std::sort,759600
90,40,own sorting network,3749156800
90,40,openmp sorting network,1836600
90,40,sequential sorting network,1871200
90,40,std::sort,940900
100,40,own sorting network,4575934600
100,40,openmp sorting network,2259900
100,40,sequential sorting network,2269700
100,40,std::sort,1144200
10,48,own sorting network,101714300
10,48,openmp sorting network,51600
10,48,sequential sorting network,51800
10,48,std::sort,25600
20,48,own sorting network,305705700
20,48,openmp sorting network,151500
20,48,sequential sorting network,152000
20,48,std::sort,77900
30,48,own sorting network,608982900
30,48,openmp sorting network,300600
30,48,sequential sorting network,302100
30,48,std::sort,155400
40,48,own sorting network,1007706800
40,48,openmp sorting network,501400
40,48,sequential sorting network,503200
40,48,std::sort,258800
50,48,own sorting network,1504003300
50,48,openmp sorting network,756000
50,48,sequential sorting network,754700
50,48,std::sort,386600
60,48,own sorting network,2099653700
60,48,openmp sorting network,1051700
60,48,sequential sorting network,1053300
60,48,std::sort,560400
70,48,own sorting network,2802546400
70,48,openmp sorting network,1415000
70,48,sequential sorting network,1402800
70,48,std::sort,745100
80,48,own sorting network,3602274200
80,48,openmp sorting network,1821900
80,48,sequential sorting network,2097700
80,48,std::sort,958300
90,48,own sorting network,4475884900
90,48,openmp sorting network,2266200
90,48,sequential sorting network,2555400
90,48,std::sort,1184900
100,48,own sorting network,5461724400
100,48,openmp sorting network,2755200
100,48,sequential sorting network,3054600
100,48,std::sort,1437000
10,56,own sorting network,110488000
10,56,openmp sorting network,60600
10,56,sequential sorting network,60900
10,56,std::sort,31600
20,56,own sorting network,331492500
20,56,openmp sorting network,180900
20,56,sequential sorting network,181600
20,56,std::sort,94900
30,56,own sorting network,660707200
30,56,openmp sorting network,359900
30,56,sequential sorting network,361100
30,56,std::sort,188600
40,56,own sorting network,1098046500
40,56,openmp sorting network,604500
40,56,sequential sorting network,598700
40,56,std::sort,312200
50,56,own sorting network,1642453400
50,56,openmp sorting network,901100
50,56,sequential sorting network,903900
50,56,std::sort,465500
60,56,own sorting network,2290146700
60,56,openmp sorting network,1259100
60,56,sequential sorting network,1278300
60,56,std::sort,650400
70,56,own sorting network,3049074500
70,56,openmp sorting network,1672800
70,56,sequential sorting network,1701100
70,56,std::sort,865300
80,56,own sorting network,3915224700
80,56,openmp sorting network,2145800
80,56,sequential sorting network,2183000
80,56,std::sort,1108000
90,56,own sorting network,4873545800
90,56,openmp sorting network,2733000
90,56,sequential sorting network,2764700
90,56,std::sort,1409400
100,56,own sorting network,5962986000
100,56,openmp sorting network,3328600
100,56,sequential sorting network,3367300
100,56,std::sort,1716800
10,64,own sorting network,124711300
10,64,openmp sorting network,79500
10,64,sequential sorting network,72300
10,64,std::sort,36600
20,64,own sorting network,377021400
20,64,openmp sorting network,230600
20,64,sequential sorting network,215800
20,64,std::sort,110500
30,64,own sorting network,750853100
30,64,openmp sorting network,443800
30,64,sequential sorting network,430700
30,64,std::sort,219700
40,64,own sorting network,1255697200
40,64,openmp sorting network,725700
40,64,sequential sorting network,724400
40,64,std::sort,363400
50,64,own sorting network,1906769200
50,64,openmp sorting network,1083900
50,64,sequential sorting network,1076100
50,64,std::sort,550500
60,64,own sorting network,2685259700
60,64,openmp sorting network,1503600
60,64,sequential sorting network,1506500
60,64,std::sort,764700
70,64,own sorting network,3594466500
70,64,openmp sorting network,1994500
70,64,sequential sorting network,2009400
70,64,std::sort,1015500
